"req_id","area_id","area","element","standard_target","current_state","implementation_action","data_or_calculation","evidence_id","implementation_status","audit_result","finding_or_action","reviewer","review_date"
"SUP-FT-03","area-soporte","Espacios de soporte","Almacenamiento","Cada categoría tiene ubicación reconocible; materiales pesados o inestables quedan asegurados y el acceso no exige desmontar otras categorías.","","","","EVID-SUP-FT-03","NOT_CHECKED","NOT_CHECKED","","",""
"SUP-FT-04","area-soporte","Espacios de soporte","Iluminación","La iluminación se verifica en el plano real de la tarea cuando calidad o seguridad dependan de ella.","","","","EVID-SUP-FT-04","NOT_CHECKED","NOT_CHECKED","","",""
"SUP-FT-05","area-soporte","Espacios de soporte","Ventilación y extracción","La ventilación responde a la operación y exposición real; cuando corresponda, la captura se controla en el punto de generación.","","","","EVID-SUP-FT-05","NOT_CHECKED","NOT_CHECKED","","",""
"SUP-FT-06","area-soporte","Espacios de soporte","Energía, agua, drenaje, aire y servicios","Servicios e instalaciones se usan sin improvisaciones, daño, obstrucción, humedad peligrosa o contaminación cruzada.","","","","EVID-SUP-FT-06","NOT_CHECKED","NOT_CHECKED","","",""
"SUP-FT-07","area-soporte","Espacios de soporte","Químicos, materiales y HDS","Producto identificado, recipiente secundario identificado cuando corresponda, HDS accesible y almacenamiento compatible con el producto real.","","","","EVID-SUP-FT-07","NOT_CHECKED","NOT_CHECKED","","",""
"SUP-FT-08","area-soporte","Espacios de soporte","Residuos, recuperables y limpieza","Residuo, sobrante recuperable y material útil se separan; el área cierra limpia y lista sin dispersar contaminantes.","","","","EVID-SUP-FT-08","NOT_CHECKED","NOT_CHECKED","","",""
"SUP-FT-09","area-soporte","Espacios de soporte","Emergencia y señalización","Rutas, salidas, medios de respuesta y señalización aplicables son visibles, accesibles y corresponden a la evaluación vigente.","","","","EVID-SUP-FT-09","NOT_CHECKED","NOT_CHECKED","","",""
"SUP-FT-10","area-soporte","Espacios de soporte","Activos, guardas y mantenimiento","Equipo crítico tiene identidad, condición utilizable, control de fuera de servicio y mantenimiento o inspección proporcional al riesgo.","","","","EVID-SUP-FT-10","NOT_CHECKED","NOT_CHECKED","","",""
"SUP-FT-11","area-soporte","Espacios de soporte","Identidad y trazabilidad","Toda pieza, piel, forma, componente o trabajo en espera conserva ID y siguiente acción; la trazabilidad no depende de memoria.","","","","EVID-SUP-FT-11","NOT_CHECKED","NOT_CHECKED","","",""
"SUP-FT-12","area-soporte","Espacios de soporte","Competencia, EPP y autorización","La operación la ejecuta personal autorizado; el EPP y la competencia corresponden a la tarea y riesgo real.","","","","EVID-SUP-FT-12","NOT_CHECKED","NOT_CHECKED","","",""
